Section	do_(mm)	SDR	Trace_(m)	Number_of_traces	Peak_flow_heating_m3/s	Peak_flow_cooling_m3/s
154	32	11	23	1	0.000610728	0.000610728
155	32	11	23	1	0.00075651	0.00075651
156	32	11	23	1	0.000646559	0.000646559
157	32	11	23	1	0.00065142	0.00065142
158	32	11	23	1	0.000641996	0.000641996
159	32	11	23	1	0.000646116	0.000646116
160	32	11	23	1	0.000780043	0.000780043
161	32	11	23	1	0.000669192	0.000669192
162	32	11	23	1	0.000577961	0.000577961
163	32	11	23	1	0.000562121	0.000562121
164	32	11	23	1	0.000711546	0.000711546
165	32	11	23	1	0.000878679	0.000878679
166	32	11	23	1	0.00079476	0.00079476
167	32	11	23	1	0.000558639	0.000558639
