Section	do_(mm)	SDR	Trace_(m)	Number_of_traces	Peak_flow_heating_m3/s	Peak_flow_cooling_m3/s
154	40	11	23	1	0.00095457	0.00095457
155	32	11	23	1	0.00084711	0.00084711
156	32	11	23	1	0.001167577	0.001167577
157	32	11	23	1	0.00075651	0.00075651
158	32	11	23	1	0.001167577	0.001167577
159	50	11	23	1	0.001492173	0.001492173
160	40	11	23	1	0.001118186	0.001118186
161	40	11	23	1	0.000864895	0.000864895
162	32	11	23	1	0.000878679	0.000878679
163	32	11	23	1	0.000685627	0.000685627
164	50	11	23	1	0.001311087	0.001311087
165	32	11	23	1	0.000672567	0.000672567
166	32	11	23	1	0.001167577	0.001167577
167	32	11	23	1	0.000614083	0.000614083
168	32	11	23	1	0.00061434	0.00061434
169	32	11	23	1	0.00075935	0.00075935
170	40	11	23	1	0.000893205	0.000893205
171	32	11	23	1	0.00061947	0.00061947
172	32	11	23	1	0.000711546	0.000711546
173	50	11	23	1	0.001922679	0.001922679
174	40	11	23	1	0.000886252	0.000886252
175	40	11	23	1	0.0012091	0.0012091
176	40	11	23	1	0.000906865	0.000906865
177	40	11	23	1	0.001043641	0.001043641
178	32	11	23	1	0.000598001	0.000598001
179	32	11	23	1	0.001096646	0.001096646
180	32	11	23	1	0.000647931	0.000647931
181	32	11	23	1	0.00065142	0.00065142
182	32	11	23	1	0.000646116	0.000646116
183	40	11	23	1	0.000945665	0.000945665
184	32	11	23	1	0.000646559	0.000646559
185	40	11	23	1	0.001258619	0.001258619
186	32	11	23	1	0.000669192	0.000669192
187	32	11	23	1	0.000718108	0.000718108
188	40	11	23	1	0.000919475	0.000919475
189	32	11	23	1	0.00079476	0.00079476
190	32	11	23	1	0.000869486	0.000869486
191	32	11	23	1	0.000636212	0.000636212
192	40	11	23	1	0.001128494	0.001128494
193	32	11	23	1	0.000685627	0.000685627
194	40	11	23	1	0.001292168	0.001292168
195	40	11	23	1	0.000914995	0.000914995
196	32	11	23	1	0.000641996	0.000641996
197	32	11	23	1	0.000585398	0.000585398
198	40	11	23	1	0.001200525	0.001200525
199	32	11	23	1	0.000787626	0.000787626
200	32	11	23	1	0.000560959	0.000560959
201	32	11	23	1	0.000699204	0.000699204
202	32	11	23	1	0.001167577	0.001167577
203	40	11	23	1	0.001076021	0.001076021
204	32	11	23	1	0.000967392	0.000967392
205	32	11	23	1	0.001139985	0.001139985
206	32	11	23	1	0.000830819	0.000830819
207	50	11	23	1	0.001783696	0.001783696
208	32	11	23	1	0.00068761	0.00068761
209	32	11	23	1	0.00058938	0.00058938
210	32	11	23	1	0.000547439	0.000547439
211	40	11	23	1	0.001099182	0.001099182
212	32	11	23	1	0.000606618	0.000606618
213	32	11	23	1	0.000767604	0.000767604
214	63	11	23	1	0.002009935	0.002009935
215	63	11	23	1	0.002034128	0.002034128
216	32	11	23	1	0.000830819	0.000830819
217	32	11	23	1	0.000617716	0.000617716
218	32	11	23	1	0.00061434	0.00061434
