Section	do_(mm)	SDR	Trace_(m)	Number_of_traces	Peak_flow_heating_m3/s	Peak_flow_cooling_m3/s
87	110	11	8.4328932	1	0.003607009	0
88	50	10.86956522	7.351979153	1	0.000449549	0
89	63	10.86206897	8.176890756	1	0.000714593	0
90	75	10.86206897	19.91343026	1	0.001268142	0
91	90	10.97560976	10.12516872	1	0.001754194	0
92	90	10.97560976	10.14755199	1	0.002188538	0
93	90	10.97560976	129.8970668	1	0.002983027	0
94	110	11	66.24445426	1	0.003751286	0
95	110	11	0.462946002	1	0.004537414	0
96	110	11	24.1644985	1	0.005113633	0
97	160	10.95890411	3.265392512	1	0.006002657	0
98	160	10.95890411	22.20860204	1	0.006411148	0
99	160	10.95890411	18.18878805	1	0.006880355	0
100	160	10.95890411	20.254444	1	0.007660363	0
101	160	10.95890411	13.11858694	1	0.008043137	0
102	160	10.95890411	16.40818659	1	0.00851646	0
103	160	10.95890411	3.937710891	1	0.008948625	0
104	160	10.95890411	213.0706694	1	0.009372558	0
105	160	10.95890411	2.648885557	1	0.009617335	0
106	160	10.95890411	6.296671541	1	0.010067191	0
107	160	10.95890411	19.84383606	1	0.010540316	0
108	160	10.95890411	5.159734651	1	0.01184405	0
109	160	10.95890411	17.22956443	1	0.012467119	0
110	50	10.86956522	4.014634706	1	0.000384211	0
111	63	10.86206897	35.25383585	1	0.000727331	0
112	75	10.86206897	31.08968512	1	0.001457196	0
113	40	11	23	1	0.001252369	0
114	40	11	23	1	0.001043641	0
115	40	11	23	1	0.001128494	0
116	40	11	23	1	0.0012091	0
117	40	11	23	1	0.000972742	0
118	40	11	23	1	0.00083704	0
119	40	11	23	1	0.00128629	0
120	40	11	23	1	0.001200525	0
121	40	11	23	1	0.001497735	0
122	40	11	23	1	0.001283208	0
123	40	11	23	1	0.000847555	0
124	40	11	23	1	0.001087859	0
125	40	11	23	1	0.001298653	0
126	40	11	23	1	0.001175641	0
127	40	11	23	1	0.000893205	0
128	40	11	23	1	0.00095636	0
129	40	11	23	1	0.001138769	0
130	40	11	23	1	0.001011136	0
131	40	11	23	1	0.000919475	0
132	40	11	23	1	0.001113551	0
133	40	11	23	1	0.00111179	0
134	32	11	23	1	0.000597059	0
135	32	11	23	1	0.000932994	0
136	32	11	23	1	0.000590998	0
137	32	11	23	1	0.000787626	0
138	32	11	23	1	0.000842906	0
139	32	11	23	1	0.000839485	0
140	32	11	23	1	0.000854416	0
141	32	11	23	1	0.00061532	0
142	32	11	23	1	0.000572433	0
143	32	11	23	1	0.00075935	0
144	32	11	23	1	0.000928379	0
145	32	11	23	1	0.000636212	0
146	32	11	23	1	0.001096646	0
147	32	11	23	1	0.000583121	0
148	32	11	23	1	0.000585398	0
149	32	11	23	1	0.001167577	0
150	32	11	23	1	0.001167577	0
151	32	11	23	1	0.000606618	0
152	32	11	23	1	0.000650686	0
153	32	11	23	1	0.000699204	0
154	32	11	23	1	0.000610728	0
155	32	11	23	1	0.00075651	0
156	32	11	23	1	0.000646559	0
157	32	11	23	1	0.00065142	0
158	32	11	23	1	0.000641996	0
159	32	11	23	1	0.000646116	0
160	32	11	23	1	0.000780043	0
161	32	11	23	1	0.000669192	0
162	32	11	23	1	0.000577961	0
163	32	11	23	1	0.000562121	0
164	32	11	23	1	0.000711546	0
165	32	11	23	1	0.000878679	0
166	32	11	23	1	0.00079476	0
167	32	11	23	1	0.000558639	0
