Heat_pump_ID	 Yearly_heating_load_(W)	Winter_heating_load_(W)	Daily_heating_load_(W)	 Year_COP	 Winter_COP	 Hour_COP	 dT_HP_Heating	Yearly_cooling_load_(W)	Summer_cooling_load_(W)	Daily_cooling_load_(W)	 EER	dT_HP_Cooling
1	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
2	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
3	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
4	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
5	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
6	1095	2146	5000	3.1	3.1	3.1	3	0	0	0	10	4
7	981	1923	5000	3.1	3.1	3.1	3	0	0	0	10	4
8	981	1923	5000	3.1	3.1	3.1	3	0	0	0	10	4
