Heat pump ID	Yearly heating load (W)	Winter heating load (W)	Daily heating load (W)	Year COP	Winter COP	Hour COP	dT HP Heating	Yearly cooling demand (W)	Summer cooling load (W)	Daily cooling load (W)	EER	dt HP Cooling
1	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
2	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
3	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
4	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
5	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
6	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
7	1825	2920	15000	3.2	3.2	3	3	70	275	8000	25	4
