Section			SDR	Trace_(m)	Number_of_traces	HP_ID_vector
Main_line		11	72		1			1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Connection_pipe_6_kW	11	15		15			1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
